username,repo_name,stars,repo_url
public-apis,public-apis,156000,https://github.com/public-apis/public-apis
httpie,httpie,51900,https://github.com/httpie/httpie
neovim,neovim,46900,https://github.com/neovim/neovim
strapi,strapi,39400,https://github.com/strapi/strapi
tiangolo,fastapi,35700,https://github.com/tiangolo/fastapi
slatedocs,slate,33100,https://github.com/slatedocs/slate
hoppscotch,hoppscotch,31000,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,23900,https://github.com/hasura/graphql-engine
YMFE,yapi,22400,https://github.com/YMFE/yapi
encode,django-rest-framework,21800,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,21700,https://github.com/littlecodersh/ItChat
Binaryify,NeteaseCloudMusicApi,21200,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,21000,https://github.com/ccxt/ccxt
paularmstrong,normalizr,20500,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,19900,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,17600,https://github.com/Kong/insomnia
microsoft,api-guidelines,17500,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,15900,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13300,https://github.com/learn-anything/learn-anything
youfou,wxpy,13000,https://github.com/youfou/wxpy
jsdoc,jsdoc,12300,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12100,https://github.com/BrainJS/brain.js
directus,directus,12000,https://github.com/directus/directus
ChainSafe,web3.js,11200,https://github.com/ChainSafe/web3.js
graphile,postgraphile,10600,https://github.com/graphile/postgraphile
micro,micro,10400,https://github.com/micro/micro
postmanlabs,httpbin,10200,https://github.com/postmanlabs/httpbin
go-chi,chi,10000,https://github.com/go-chi/chi
star7th,showdoc,9800,https://github.com/star7th/showdoc
OpenAPITools,openapi-generator,9600,https://github.com/OpenAPITools/openapi-generator
