username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,9800,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9700,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,8200,https://github.com/bitwarden/server
ElectronNET,Electron.NET,5900,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4600,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4100,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2300,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2100,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1800,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
mjebrahimi,Awesome-Microservices-NetCore,1300,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1200,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,946,https://github.com/MarimerLLC/csla
riganti,dotvvm,562,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,538,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,473,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,445,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,413,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,390,https://github.com/YAFNET/YAFNET
Maarten88,rrod,376,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,348,https://github.com/SapphireDb/SapphireDb
IvanJosipovic,BlazorTable,332,https://github.com/IvanJosipovic/BlazorTable
Taritsyn,WebMarkupMin,330,https://github.com/Taritsyn/WebMarkupMin
EEParker,aspnetcore-vueclimiddleware,287,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,283,https://github.com/ALMMa/datatables.aspnet
chsakell,aspnet-core-identity,279,https://github.com/chsakell/aspnet-core-identity
cornflourblue,aspnet-core-jwt-authentication-api,276,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
grandchamp,Identity.Dapper,250,https://github.com/grandchamp/Identity.Dapper
