username,repo_name,stars,repo_url
serverless,serverless,40700,https://github.com/serverless/serverless
localstack,localstack,34000,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,21600,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,13900,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,11900,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,11400,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,11200,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,9800,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,9700,https://github.com/donnemartin/awesome-aws
apereo,cas,8900,https://github.com/apereo/cas
aws-amplify,amplify-js,8400,https://github.com/aws-amplify/amplify-js
apex,up,8300,https://github.com/apex/up
aws,chalice,8300,https://github.com/aws/chalice
mozilla,sops,8200,https://github.com/mozilla/sops
aws,serverless-application-model,8100,https://github.com/aws/serverless-application-model
google,go-cloud,8000,https://github.com/google/go-cloud
cortexlabs,cortex,7600,https://github.com/cortexlabs/cortex
caprover,caprover,7500,https://github.com/caprover/caprover
aws,aws-cdk,7400,https://github.com/aws/aws-cdk
aws,aws-sdk-go,7100,https://github.com/aws/aws-sdk-go
angristan,openvpn-install,6700,https://github.com/angristan/openvpn-install
aws,aws-sdk-js,6700,https://github.com/aws/aws-sdk-js
boto,boto3,6700,https://github.com/boto/boto3
hashicorp,terraform-provider-aws,6300,https://github.com/hashicorp/terraform-provider-aws
awslabs,aws-shell,6300,https://github.com/awslabs/aws-shell
aws,amazon-sagemaker-examples,6000,https://github.com/aws/amazon-sagemaker-examples
aws,aws-sam-cli,5700,https://github.com/aws/aws-sam-cli
GoogleCloudPlatform,terraformer,5600,https://github.com/GoogleCloudPlatform/terraformer
gruntwork-io,terratest,5600,https://github.com/gruntwork-io/terratest
donnemartin,dev-setup,5500,https://github.com/donnemartin/dev-setup
