username,repo_name,stars,repo_url
flutter,flutter,129000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,82800,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,54000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,45800,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,43800,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,41300,https://github.com/wasabeef/awesome-android-ui
square,okhttp,40800,https://github.com/square/okhttp
android,architecture-samples,39400,https://github.com/android/architecture-samples
square,retrofit,38700,https://github.com/square/retrofit
Solido,awesome-flutter,37300,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,33900,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,32900,https://github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,31800,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,31700,https://github.com/airbnb/lottie-android
bumptech,glide,31700,https://github.com/bumptech/glide
Trinea,android-open-project,30700,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,29800,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,29500,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29400,https://github.com/bilibili/ijkplayer
zxing,zxing,28300,https://github.com/zxing/zxing
codepath,android_guides,27500,https://github.com/codepath/android_guides
skylot,jadx,27100,https://github.com/skylot/jadx
square,leakcanary,26600,https://github.com/square/leakcanary
laurent22,joplin,25200,https://github.com/laurent22/joplin
alibaba,fastjson,23800,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,22900,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22200,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21300,https://github.com/react-native-elements/react-native-elements
google,iosched,20800,https://github.com/google/iosched
NativeScript,NativeScript,20400,https://github.com/NativeScript/NativeScript
