username,repo_name,stars,repo_url
ansible,ansible,49800,https://github.com/ansible/ansible
StreisandEffect,streisand,22500,https://github.com/StreisandEffect/streisand
trailofbits,algo,21400,https://github.com/trailofbits/algo
bregman-arie,devops-exercises,13900,https://github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,11200,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10100,https://github.com/ansible/awx
easzlab,kubeasz,7300,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,4900,https://github.com/geerlingguy/ansible-for-devops
ansible-semaphore,semaphore,4400,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4300,https://github.com/rundeck/rundeck
Tikam02,DevOps-Guide,3900,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,3900,https://github.com/geerlingguy/mac-dev-playbook
KubeOperator,KubeOperator,3800,https://github.com/KubeOperator/KubeOperator
ansible-community,molecule,3200,https://github.com/ansible-community/molecule
clong,DetectionLab,3000,https://github.com/clong/DetectionLab
opendevops-cn,opendevops,2800,https://github.com/opendevops-cn/opendevops
welliamcao,OpsManage,2800,https://github.com/welliamcao/OpsManage
werf,werf,2600,https://github.com/werf/werf
ansible-community,ansible-lint,2600,https://github.com/ansible-community/ansible-lint
netbootxyz,netboot.xyz,2500,https://github.com/netbootxyz/netboot.xyz
dev-sec,ansible-collection-hardening,2400,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2400,https://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2300,https://github.com/roots/trellis
litmuschaos,litmus,2100,https://github.com/litmuschaos/litmus
ansistrano,deploy,2100,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2000,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2000,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,1900,https://github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,1900,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,1900,https://github.com/Artemmkin/infrastructure-as-code-tutorial
