username,repo_name,stars,repo_url
arendst,Tasmota,16100,https://github.com/arendst/Tasmota
rwaldron,johnny-five,12400,https://github.com/rwaldron/johnny-five
arduino,Arduino,12000,https://github.com/arduino/Arduino
MarlinFirmware,Marlin,11800,https://github.com/MarlinFirmware/Marlin
SpacehuhnTech,esp8266_deauther,8900,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,8500,https://github.com/tinygo-org/tinygo
hybridgroup,gobot,7300,https://github.com/hybridgroup/gobot
espressif,arduino-esp32,7200,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,7000,https://github.com/gurugio/lowlevelprogramming-university
bblanchon,ArduinoJson,5300,https://github.com/bblanchon/ArduinoJson
platformio,platformio-core,5300,https://github.com/platformio/platformio-core
tzapu,WiFiManager,4800,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3800,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3300,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3200,https://github.com/blynkkk/blynk-library
arduino,arduino-cli,3000,https://github.com/arduino/arduino-cli
NectarJS,nectarjs,3000,https://github.com/NectarJS/nectarjs
gioblu,PJON,2600,https://github.com/gioblu/PJON
olikraus,u8g2,2600,https://github.com/olikraus/u8g2
1technophile,OpenMQTTGateway,2300,https://github.com/1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,2100,https://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,1900,https://github.com/isl-org/OpenBot
Serial-Studio,Serial-Studio,1900,https://github.com/Serial-Studio/Serial-Studio
crankyoldgit,IRremoteESP8266,1900,https://github.com/crankyoldgit/IRremoteESP8266
scottbez1,splitflap,1800,https://github.com/scottbez1/splitflap
nRF24,RF24,1800,https://github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,1600,https://github.com/stm32duino/Arduino_Core_STM32
ThingPulse,esp8266-oled-ssd1306,1500,https://github.com/ThingPulse/esp8266-oled-ssd1306
blinker-iot,blinker-library,1500,https://github.com/blinker-iot/blinker-library
Bodmer,TFT_eSPI,1400,https://github.com/Bodmer/TFT_eSPI
