username,repo_name,stars,repo_url
sindresorhus,awesome,168000,https://github.com/sindresorhus/awesome
vinta,awesome-python,102000,https://github.com/vinta/awesome-python
avelino,awesome-go,68000,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,63500,https://github.com/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,49200,https://github.com/papers-we-love/papers-we-love
trimstray,the-book-of-secret-knowledge,47900,https://github.com/trimstray/the-book-of-secret-knowledge
521xueweihan,HelloGitHub,46600,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,45800,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,45400,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,42400,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,42300,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,41300,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,38200,https://github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,38100,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,37300,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,35800,https://github.com/binhnguyennus/awesome-scalability
MunGell,awesome-for-beginners,34500,https://github.com/MunGell/awesome-for-beginners
fffaraz,awesome-cpp,33200,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,32800,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,32000,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,29800,https://github.com/akullpp/awesome-java
dkhamsing,open-source-ios-apps,28100,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,27900,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,27000,https://github.com/serhii-londar/open-source-mac-os-apps
ziadoz,awesome-php,25700,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23400,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,22100,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,21900,https://github.com/sindresorhus/awesome-electron
rust-unofficial,awesome-rust,21700,https://github.com/rust-unofficial/awesome-rust
