username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,94200,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,51100,https://github.com/nvm-sh/nvm
junegunn,fzf,39000,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,27700,https://github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,26800,https://github.com/mathiasbynens/dotfiles
koalaman,shellcheck,26000,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,23500,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22100,https://github.com/alebcay/awesome-shell
LeCoupa,awesome-cheatsheets,21800,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,18600,https://github.com/starship/starship
jaywcjlove,linux-command,16700,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,13700,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,12800,https://github.com/dylanaraps/neofetch
powerline,powerline,12800,https://github.com/powerline/powerline
shelljs,shelljs,12700,https://github.com/shelljs/shelljs
Bash-it,bash-it,12500,https://github.com/Bash-it/bash-it
faressoft,terminalizer,11900,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,11200,https://github.com/jessfraz/dockerfiles
denisidoro,navi,9700,https://github.com/denisidoro/navi
codota,TabNine,8600,https://github.com/codota/TabNine
rgcr,m-cli,8500,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8400,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8100,https://github.com/kanaka/mal
direnv,direnv,7800,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,7600,https://github.com/skywind3000/awesome-cheatsheets
angristan,openvpn-install,6700,https://github.com/angristan/openvpn-install
carlospolop,PEASS-ng,6300,https://github.com/carlospolop/PEASS-ng
Mayccoll,Gogh,6200,https://github.com/Mayccoll/Gogh
enquirer,enquirer,6200,https://github.com/enquirer/enquirer
webpro,awesome-dotfiles,6000,https://github.com/webpro/awesome-dotfiles
