username,repo_name,stars,repo_url
bitcoin,bitcoin,56900,https://github.com/bitcoin/bitcoin
ccxt,ccxt,21000,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17000,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,11800,https://github.com/freqtrade/freqtrade
askmike,gekko,9700,https://github.com/askmike/gekko
bbfamily,abu,8300,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6300,https://github.com/dvf/blockchain
yeasy,blockchain_guide,5700,https://github.com/yeasy/blockchain_guide
butor,blackbird,5400,https://github.com/butor/blackbird
lightningnetwork,lnd,5300,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5100,https://github.com/spesmilo/electrum
btcsuite,btcd,4400,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4300,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4100,https://github.com/bitcoinj/bitcoinj
solana-labs,solana,3700,https://github.com/solana-labs/solana
bisq-network,bisq,3700,https://github.com/bisq-network/bisq
michaelgrosner,tribeca,3600,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3500,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3500,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3400,https://github.com/Zheaoli/awesome-coins
CryptoSignal,Crypto-Signal,3400,https://github.com/CryptoSignal/Crypto-Signal
coinpride,CryptoList,3300,https://github.com/coinpride/CryptoList
bitpay,wallet,3300,https://github.com/bitpay/wallet
SqueezerIO,squeezer,3200,https://github.com/SqueezerIO/squeezer
Jeiwan,blockchain_go,3000,https://github.com/Jeiwan/blockchain_go
jesse-ai,jesse,3000,https://github.com/jesse-ai/jesse
btcpayserver,btcpayserver,2900,https://github.com/btcpayserver/btcpayserver
lbryio,lbrycrd,2800,https://github.com/lbryio/lbrycrd
miguelmota,cointop,2600,https://github.com/miguelmota/cointop
