username,repo_name,stars,repo_url
CyC2018,CS-Notes,138000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,55600,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,44100,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37300,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,33200,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,22700,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,21900,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,20300,https://github.com/huihut/interview
yuzu-emu,yuzu,16200,https://github.com/yuzu-emu/yuzu
youngyangyang04,leetcode-master,15600,https://github.com/youngyangyang04/leetcode-master
TheAlgorithms,C-Plus-Plus,15500,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,14900,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,13600,https://github.com/microsoft/vcpkg
AnthonyCalandra,modern-cpp-features,12600,https://github.com/AnthonyCalandra/modern-cpp-features
facebook,infer,12600,https://github.com/facebook/infer
gabime,spdlog,12600,https://github.com/gabime/spdlog
Qv2ray,Qv2ray,12400,https://github.com/Qv2ray/Qv2ray
CoatiSoftware,Sourcetrail,11900,https://github.com/CoatiSoftware/Sourcetrail
ethereum,solidity,11800,https://github.com/ethereum/solidity
google,tink,11600,https://github.com/google/tink
ssloy,tinyrenderer,11200,https://github.com/ssloy/tinyrenderer
antlr,antlr4,10600,https://github.com/antlr/antlr4
SFTtech,openage,10500,https://github.com/SFTtech/openage
kyleneideck,BackgroundMusic,10100,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,9900,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9300,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8700,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8600,https://github.com/codota/TabNine
nasa,fprime,8400,https://github.com/nasa/fprime
rigtorp,awesome-modern-cpp,8300,https://github.com/rigtorp/awesome-modern-cpp
