username,repo_name,stars,repo_url
Genymobile,scrcpy,54000,https://github.com/Genymobile/scrcpy
neovim,neovim,46900,https://github.com/neovim/neovim
git,git,39300,https://github.com/git/git
fffaraz,awesome-cpp,33200,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,30700,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,27000,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,26100,https://github.com/FFmpeg/FFmpeg
vim,vim,24700,https://github.com/vim/vim
ggreer,the_silver_searcher,22500,https://github.com/ggreer/the_silver_searcher
curl,curl,21800,https://github.com/curl/curl
huihut,interview,20300,https://github.com/huihut/interview
ruby,ruby,18400,https://github.com/ruby/ruby
google,flatbuffers,16700,https://github.com/google/flatbuffers
mpv-player,mpv,15900,https://github.com/mpv-player/mpv
oracle,graal,15900,https://github.com/oracle/graal
pbatard,rufus,15800,https://github.com/pbatard/rufus
radareorg,radare2,14900,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14500,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,13700,https://github.com/allinurl/goaccess
microsoft,vcpkg,13600,https://github.com/microsoft/vcpkg
vurtun,nuklear,13300,https://github.com/vurtun/nuklear
facebook,infer,12600,https://github.com/facebook/infer
jarun,nnn,12200,https://github.com/jarun/nnn
kovidgoyal,kitty,12100,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,11900,https://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,10700,https://github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10500,https://github.com/hashcat/hashcat
qmk,qmk_firmware,10400,https://github.com/qmk/qmk_firmware
jonas,tig,10300,https://github.com/jonas/tig
TheAlgorithms,C,10100,https://github.com/TheAlgorithms/C
