username,repo_name,stars,repo_url
ovity,octotree,21500,https://github.com/ovity/octotree
gitpod-io,gitpod,5000,https://github.com/gitpod-io/gitpod
danger,danger,4600,https://github.com/danger/danger
reviewdog,reviewdog,4200,https://github.com/reviewdog/reviewdog
danger,danger-js,3900,https://github.com/danger/danger-js
joho,awesome-code-review,3000,https://github.com/joho/awesome-code-review
houndci,hound,1900,https://github.com/houndci/hound
ajinabraham,nodejsscan,1800,https://github.com/ajinabraham/nodejsscan
mbj,mutant,1700,https://github.com/mbj/mutant
microsoft,vscode-pull-request-github,1700,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1400,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
bit4woo,python_sec,985,https://github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,966,https://github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,939,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,806,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,636,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,522,https://github.com/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,423,https://github.com/uwolfer/gerrit-intellij-plugin
palantir,policy-bot,405,https://github.com/palantir/policy-bot
bsamseth,cpp-project,390,https://github.com/bsamseth/cpp-project
mookid,diffr,371,https://github.com/mookid/diffr
sjparkinson,static-review,329,https://github.com/sjparkinson/static-review
dpnishant,raptor,324,https://github.com/dpnishant/raptor
mgreiler,code-review-checklist,318,https://github.com/mgreiler/code-review-checklist
burrito-brothers,shiba,281,https://github.com/burrito-brothers/shiba
charignon,github-review,243,https://github.com/charignon/github-review
src-d,lookout,143,https://github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,137,https://github.com/uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,134,https://github.com/thesp0nge/owasp-orizon
