username,repo_name,stars,repo_url
httpie,httpie,51900,https://github.com/httpie/httpie
junegunn,fzf,39000,https://github.com/junegunn/fzf
sharkdp,bat,29300,https://github.com/sharkdp/bat
wagoodman,dive,27400,https://github.com/wagoodman/dive
BurntSushi,ripgrep,27100,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,26800,https://github.com/chubin/cheat.sh
sherlock-project,sherlock,26700,https://github.com/sherlock-project/sherlock
cli,cli,25300,https://github.com/cli/cli
angular,angular-cli,24800,https://github.com/angular/angular-cli
spf13,cobra,23100,https://github.com/spf13/cobra
alebcay,awesome-shell,22100,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,21100,https://github.com/jesseduffield/lazygit
google,python-fire,20000,https://github.com/google/python-fire
tqdm,tqdm,19400,https://github.com/tqdm/tqdm
avajs,ava,19300,https://github.com/avajs/ava
sharkdp,fd,18800,https://github.com/sharkdp/fd
vercel,pkg,18700,https://github.com/vercel/pkg
n8n-io,n8n,17500,https://github.com/n8n-io/n8n
chalk,chalk,17000,https://github.com/chalk/chalk
vadimdemedes,ink,16700,https://github.com/vadimdemedes/ink
svg,svgo,16600,https://github.com/svg/svgo
urfave,cli,16500,https://github.com/urfave/cli
ibraheemdev,modern-unix,16200,https://github.com/ibraheemdev/modern-unix
gpakosz,.tmux,14900,https://github.com/gpakosz/.tmux
FormidableLabs,webpack-dashboard,13800,https://github.com/FormidableLabs/webpack-dashboard
allinurl,goaccess,13700,https://github.com/allinurl/goaccess
infinitered,ignite,12900,https://github.com/infinitered/ignite
pomber,git-history,12600,https://github.com/pomber/git-history
jarun,nnn,12200,https://github.com/jarun/nnn
asdf-vm,asdf,11700,https://github.com/asdf-vm/asdf
