username,repo_name,stars,repo_url
vercel,next.js,73000,https://github.com/vercel/next.js
webpack,webpack,59200,https://github.com/webpack/webpack
rust-lang,rust,58500,https://github.com/rust-lang/rust
gatsbyjs,gatsby,51300,https://github.com/gatsbyjs/gatsby
sveltejs,svelte,50100,https://github.com/sveltejs/svelte
babel,babel,39600,https://github.com/babel/babel
parcel-bundler,parcel,38900,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,38700,https://github.com/JetBrains/kotlin
evanw,esbuild,27000,https://github.com/evanw/esbuild
markedjs,marked,25800,https://github.com/markedjs/marked
vlang,v,25300,https://github.com/vlang/v
vercel,pkg,18700,https://github.com/vercel/pkg
v8,v8,18300,https://github.com/v8/v8
swc-project,swc,15000,https://github.com/swc-project/swc
AssemblyScript,assemblyscript,12600,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12400,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,11800,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10400,https://github.com/gopherjs/gopherjs
ziglang,zig,10300,https://github.com/ziglang/zig
compiler-explorer,compiler-explorer,9300,https://github.com/compiler-explorer/compiler-explorer
apache,tvm,7100,https://github.com/apache/tvm
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
numba,numba,6800,https://github.com/numba/numba
elm,compiler,6600,https://github.com/elm/compiler
aalhour,awesome-compilers,6200,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,5800,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,5600,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5500,https://github.com/rescript-lang/rescript-compiler
lebab,lebab,5400,https://github.com/lebab/lebab
enso-org,enso,5100,https://github.com/enso-org/enso
